antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ã'}),"frozenset({'ĩ', 'ũ'})",0.18312453942520265,0.16212232866617537,0.14701547531319087,0.8028169014084507,4.951920614596672,1.0,0.11732689854565617,4.249236761764397,0.9769642871273809,0.741635687732342,0.7646636193590745,0.8548175416133164
"frozenset({'ĩ', 'ũ'})",frozenset({'ã'}),0.16212232866617537,0.18312453942520265,0.14701547531319087,0.906818181818182,4.951920614596672,1.0,0.11732689854565617,8.766468357388083,0.9524757363946365,0.741635687732342,0.8859289785541479,0.8548175416133164
frozenset({'ã'}),"frozenset({'ĩ', 'e'})",0.18312453942520265,0.15217391304347827,0.13780397936624908,0.7525150905432596,4.945099166427134,1.0,0.10993720162763128,3.425768822905621,0.9766232732482831,0.6977611940298506,0.7080947221792293,0.829042048903591
"frozenset({'ĩ', 'e'})",frozenset({'ã'}),0.15217391304347827,0.18312453942520265,0.13780397936624908,0.9055690072639224,4.945099166427133,1.0,0.10993720162763128,8.650501672240793,0.9409707939119704,0.6977611940298506,0.8843997680262903,0.829042048903591
"frozenset({'o', 'ũ'})",frozenset({'ã'}),0.1400147383935151,0.18312453942520265,0.12675018422991893,0.9052631578947368,4.943428995022768,1.0,0.10111004974886624,8.622574306067298,0.9275871345728463,0.6454033771106942,0.8840253543194928,0.7987080376998834
"frozenset({'õ', 'e'})",frozenset({'ĩ'}),0.11422254974207811,0.18828297715549006,0.10611643330876934,0.9290322580645161,4.9342339498769014,1.0,0.08461027158503982,11.437830776445356,0.9001519458310224,0.5403377110694184,0.912570834492554,0.7463165204216905
"frozenset({'ẽ', 'e'})",frozenset({'ã'}),0.11422254974207811,0.18312453942520265,0.10316875460574797,0.9032258064516129,4.932303498409814,1.0,0.0822518027922576,8.44104642593957,0.9000623960066555,0.5313092979127135,0.8815312759177616,0.7333030440708768
frozenset({'ã'}),"frozenset({'o', 'ĩ'})",0.18312453942520265,0.1529108327192336,0.13780397936624908,0.7525150905432596,4.921267363215438,1.0,0.10980225355141521,3.422791188118219,0.975424466748195,0.6951672862453532,0.7078407810936957,0.826859954910184
"frozenset({'o', 'ĩ'})",frozenset({'ã'}),0.1529108327192336,0.18312453942520265,0.13780397936624908,0.9012048192771084,4.921267363215437,1.0,0.10980225355141521,8.268373564354652,0.9406333374426918,0.6951672862453532,0.8790572302742771,0.826859954910184
frozenset({'ẽ'}),"frozenset({'a', 'ã'})",0.11532792925571113,0.18054532056005895,0.10243183492999262,0.888178913738019,4.9194236160918035,1.0,0.08160991697299246,7.32826613327718,0.9005869856384779,0.5295238095238095,0.8635420736892911,0.7277629262567646
